participant,FP,logFP,condition,FPType,conFPDur,orientation,prevOri,seqOri,oneBackFP,block,countBalance,condTestPos,meanRT,meanLogRT,meanRTzscore,meanInvRT,numFP,numOneBackFP,numLogFP,squaredNumFP,squaredNumLogFP,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,2.8,0.447158031342219,external,variable,NA,left,right,different,2.8,6,1,2,0.35797643661499023,-0.4488681543244092,-1.121846244693244,2.828725134010207,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,right,different,2.8,7,1,2,0.5557732105255127,-0.27738600434726196,0.7640443031487969,1.9926781281857655,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,left,same,1,6,1,2,0.5073899428049723,-0.3108993996745178,0.3027347202677593,2.1212274297380906,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,left,same,1,7,1,2,0.455111026763916,-0.3490717131408876,-0.1957178665163712,2.2745968328231663,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,left,same,2.8,6,1,2,0.6086849106682671,-0.23168128896939835,1.2685301610152813,1.766068603597588,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,external,variable,NA,left,left,same,2.8,7,1,2,0.47625207901000977,-0.3232390988054343,0.005851197599805125,2.110158522027741,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,constant,long,right,right,same,2.8,2,1,1,0.4688225814274379,-0.3334638316331614,-0.06498524219231096,2.1768203151636496,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,constant,long,right,left,different,2.8,2,1,1,0.47776048000042254,-0.333239531549538,0.020233025543378594,2.2085853556683808,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,constant,long,left,right,different,2.8,2,1,1,0.46435425678888953,-0.3404710982583095,-0.10758842036315457,2.222980239073788,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,constant,long,left,right,different,NA,2,1,1,0.4852049350738525,-0.314074790525081,0.09121207732087284,2.0609848080951427,2.8,NA,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,NA
1,2.8,0.447158031342219,action,constant,long,left,left,same,2.8,2,1,1,0.47181736628214516,-0.3319493854470227,-0.03643150828324406,2.173786978447276,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,right,same,1,1,1,1,0.5831603209177653,-0.24899110893514573,1.0251663204614772,1.840648009535714,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,right,same,1,3,1,1,0.3980202674865722,-0.40121193858059695,-0.7400489046908022,2.5256074594015954,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,right,same,2.8,1,1,1,0.4398379325866699,-0.35670731885271484,-0.34133896728416985,2.273564706252229,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,right,same,2.8,3,1,1,0.515933609008789,-0.2903087499855209,0.38419418504641273,1.964123795243253,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,left,different,1,1,1,1,0.47367036342620844,-0.32485788567526125,-0.0187641331785921,2.114423534380881,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,left,different,1,3,1,1,0.4525298595428467,-0.34944217659854526,-0.22032796893804368,2.261289674775658,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,left,different,2.8,1,1,1,0.494585116704305,-0.3258624072460876,0.1806472866226907,2.2018071434686792,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,right,left,different,2.8,3,1,1,0.4289876619974772,-0.3686145923740599,-0.444790719004568,2.342446102078214,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,right,different,1,1,1,1,0.4665274143218994,-0.33477491205794174,-0.08686848055094608,2.180696739104085,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,right,different,1,3,1,1,0.7685708999633789,-0.11431606304702491,2.792960868264467,1.3011161365173314,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,right,different,2.8,1,1,1,0.4884456157684326,-0.3117274908340009,0.12211030164301223,2.052421887654018,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
