participant,block,trial,practice,condition,FPType,conFPDur,extFixDur,actionTrigLatency,FP,orientation,Acc,responseGiven,response,RT,preRespGiven,preResp,preTime,ITI,countBalance,handedness,oneBackFP,condTestPos,numFP,numOneBackFP,squaredNumFP,seqOri,prevOri,numLogFP,logFP,logOneBackFP,logRT,invRT,RTzscore,logRTzscore,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,1,15,no,action,variable,NA,NA,0.4093539714813232,2.8,left,1,1,7,0.4562051296234131,0,NA,NA,0.21,1,right,2.8,1,2.8,2.8,7.839999999999999,same,left,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.3408398357743683,2.1919963960630544,-0.18528615825187789,-0.09883508471262206,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,16,no,action,variable,NA,NA,0.4321260452270508,2.8,right,1,1,8,0.8306968212127686,0,NA,NA,0.26,1,right,2.8,1,2.8,2.8,7.839999999999999,different,left,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.08055745142521108,1.2038086272438828,3.385299587161894,2.8488731630222914,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,17,no,action,variable,NA,NA,0.4667749404907226,1,right,1,1,8,0.5377299785614014,0,NA,NA,0.51,1,right,2.8,1,1,2.8,1,same,right,0,0,0.4471580313422192,-0.26943575083762017,1.859669424932041,0.5920113627681212,0.709818987733823,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,18,no,action,variable,NA,NA,0.4371891021728515,1,right,1,1,8,0.5078160762786865,0,NA,NA,0.45,1,right,1,1,1,1,1,same,right,0,0,0,-0.29429355448906397,1.9692169009852414,0.30679768385563,0.4283033829526607,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,1,19,no,action,variable,NA,NA,0.4253890514373779,2.8,right,1,1,8,0.3926270008087158,0,NA,NA,0.39,1,right,1,1,2.8,1,7.839999999999999,same,right,0.4471580313422192,0.447158031342219,0,-0.4060198374435615,2.546946587830801,-0.7914709296746979,-0.8370011691677275,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,20,no,action,variable,NA,NA,0.4363059997558594,2.8,right,1,1,8,0.4398379325866699,0,NA,NA,0.24,1,right,2.8,1,2.8,2.8,7.839999999999999,same,right,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.35670731885271484,2.273564706252229,-0.34133896728416985,-0.27853495513524995,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,21,no,action,variable,NA,NA,0.521759033203125,2.8,left,1,1,7,0.4752960205078125,0,NA,NA,0.39,1,right,2.8,1,2.8,2.8,7.839999999999999,different,right,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.32303582189024654,2.103951972776012,-0.0032643286892809847,0.10279607330924283,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,22,no,action,variable,NA,NA,0.5210859775543213,2.8,left,1,1,7,0.5471141338348389,0,NA,NA,0.16,1,right,2.8,1,2.8,2.8,7.839999999999999,same,left,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.26192206576138655,1.8277721925967954,0.6814844587128692,0.7949117669684939,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,23,no,action,variable,NA,NA,0.631324052810669,2.8,left,1,1,7,0.5052530765533447,0,NA,NA,0.19,1,right,2.8,1,2.8,2.8,7.839999999999999,same,left,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.29649103332760557,1.9792061570839734,0.2823607991654358,0.4034168486111637,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,24,no,action,variable,NA,NA,0.5232279300689697,2.8,right,1,1,8,0.5231149196624756,0,NA,NA,0.32,1,right,2.8,1,2.8,2.8,7.839999999999999,different,left,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.28140289336449015,1.9116258443655563,0.45266429006961867,0.5742906275780578,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,25,no,action,variable,NA,NA,0.4150149822235107,2.8,left,1,1,7,0.5217421054840088,0,NA,NA,0.17,1,right,2.8,1,2.8,2.8,7.839999999999999,different,right,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.28254411355272574,1.916655737555093,0.43957521266997795,0.5613662640266966,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,26,no,action,variable,NA,NA,0.3456571102142334,1,left,1,1,7,0.4049010276794433,0,NA,NA,0.71,1,right,2.8,1,1,2.8,1,same,left,0,0,0.4471580313422192,-0.3926511209472078,2.469739347739299,-0.6744443937922905,-0.6855999286401746,-0.902093023255814,0.8137718226068146,0.9031652989449002
1,1,27,no,action,variable,NA,NA,0.440364122390747,1,right,1,1,8,0.4190740585327148,0,NA,NA,0.61,1,right,1,1,1,1,1,different,left,0,0,0,-0.3777092219740482,2.386213080096762,-0.5393118312533806,-0.5163823346407254,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,1,28,no,action,variable,NA,NA,0.472787857055664,2.8,right,1,1,8,0.6137940883636475,0,NA,NA,0.68,1,right,1,1,2.8,1,7.839999999999999,same,right,0.4471580313422192,0.447158031342219,0,-0.21197729870545157,1.6292108688533695,1.3172435436072638,1.3605382197540423,0.8979069767441858,0.8062369388858839,-0.8968347010550997
1,1,29,no,action,variable,NA,NA,0.4853341579437256,2.8,left,1,1,7,0.4588270187377929,0,NA,NA,0.22,1,right,2.8,1,2.8,2.8,7.839999999999999,different,right,0.4471580313422192,0.447158031342219,0.4471580313422192,-0.3383510159162915,2.1794706047410703,-0.16028779351345376,-0.07064910185740854,0.8979069767441858,0.8062369388858839,0.9031652989449002
1,1,30,no,action,variable,NA,NA,1.1188981533050537,1,right,1,1,8,0.455441951751709,0,NA,NA,0.62,1,right,2.8,1,1,2.8,1,different,left,0,0,0.4471580313422192,-0.341566968066215,2.195669494551009,-0.19256266689311616,-0.10706988653845596,-0.902093023255814,0.8137718226068146,0.9031652989449002
